Name,Count
detikcom,11520991,
TweetRAMALAN,11139400,
HuffingtonPost,6461305,
la_patilla,5220678,
CBSNews,4059570,
multishow,3631331,
ochocinco,3584502,
EspinozaOficial,3339481,
